品类,中文,参照产品,族内序号,一致度,另一票,任务名,判据,形态族,记录/来源,原文点名,行业,custom_id,我的判断
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,3,3/3,,DOE-FHWA 电动汽车替代燃料走廊充电站就绪度与缺口拓扑核验,"GeoJSON站点+走廊拓扑,地图型",可检索档案库+详情页,合格电动汽车充电站记录,DOE Alternative Fuels Data Center (AFDC),交通能源基础设施 / 电动汽车走,cn-all-remaining-1191-c00b9d6f,
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,4,3/3,,Monaco OSM 矢量瓦片管道,Geofabrik地图瓦片下载,,Geofabrik,Geofabrik,地理信息系统,cn-all-remaining-0030-349ac3ae,
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,5,3/3,,构建 NOAA–USCG 旧金山湾助航标志海图发布就绪度对账审计,NOAA海图瓦片下载,可检索档案库+详情页,NOAA ENC Product Catalog / ENC Direct,NOAA Electronic Navigational Chart (ENC),水道测量与电子海图数据工程 / ,cn-all-remaining-0641-e0995661,
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,6,3/3,,重建 NOAA 纽约港 ENC 更新链并与 USCG 航标名录执行导航安全审计,NOAA海图更新链,可检索档案库+详情页,NOAA ENC Direct (按图幅编号下载页),NOAA Electronic Navigational Chart (ENC),水道测量与电子海图数据工程 / ,cn-all-remaining-0645-206c5b2d,
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,7,3/3,,    多时相Sentinel-2冬小麦长势异常地块识别与风险核查    ,多时相影像地块检索,时序监测点/日志事件记录,Sentinel-2 (Copernicus),Sentinel-2,科学类、遥感科学与技术人员,cn-all-remaining-0721-5993d63c,
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,8,3/3,,NYC MapPLUTO–建筑轮廓–DOB 占用证拓扑与谱系审计,地块建筑GIS数据,主体档案+关联事件时间线,NYC Planning MapPLUTO,MapPLUTO,城市规划 / 建筑 GIS / ,cn-all-remaining-1148-ddabd7cf,
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,9,人工改判,dataset-repository,实测 MT/AMT EDI 质控与平滑一维电阻率反演,USGS 数据发布页,单表统计/观测数据下载门户,USGS 科学数据发布页（Data Series 901）,United States Geological Survey (USGS),科学类、地球科学研究人员,cn-all-remaining-0144-a17cd5ce,dataset-repository→geospatial-portal：USGS MT/AMT 地球物理测线，非数据集目录
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,10,人工改判,dataset-repository,航磁测线交叉点平差与调平,航磁测线数据仓库,数据集/资料仓库详情页,地质调查数据仓库(如USGS航磁测线库),Comstock aeromagnetic survey data,科学类、地球科学研究人员,cn-all-remaining-0155-15cf16ab,dataset-repository→geospatial-portal：航磁测线库，几何/空间数据
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,11,人工改判,dataset-repository,USDA SSURGO Sonoma Soil Foundation Interpretation Audit,图斑→构件→土层三级子表,批次-样品-检验/QC记录(LIMS/MES),SSURGO图斑/构件/土层记录,USDA Soil Data Access,环境岩土工程 / 土壤调查 / ,cn-all-remaining-1163-87b43970,dataset-repository→geospatial-portal：SSURGO 土壤空间数据库
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,12,人工改判,regulatory-registry,FCC ULS Microwave Path and ASR Compliance Audit,许可主体检索+详情+变更史,可检索档案库+详情页,微波许可与天线结构注册记录,Federal Communications Commission,通信监管 / 固定微波频谱工程 ,cn-all-remaining-1149-9529549a,regulatory-registry→geospatial-portal：执照 + 塔坐标几何
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,13,人工改判,regulatory-registry,构建 FAA Part 77 机场障碍物净空筛查与控制障碍物对账数据产品,机场检索详情页,可检索档案库+详情页,机场跑道端与障碍物记录,FAA National Airspace System Resources (NASR),航空工程 / 机场 GIS / ,cn-all-remaining-0632-5b302678,regulatory-registry→geospatial-portal：NASR 跑道/障碍物几何
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,14,人工改判,regulatory-registry,构建 FAA 2608 仪表进近跑道就绪度与程序一致性审计产品,同112检索详情页,可检索档案库+详情页,机场跑道与仪表进近程序记录,FAA National Airspace System Resources (NASR),航空数据工程 / 仪表进近程序 ,cn-all-remaining-0633-f8c6a3ac,regulatory-registry→geospatial-portal：NASR 设施与程序文档
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,1,1/3,ad-campaign-console / procurement-sourcing,在线招聘渠道续约复盘、RFP对账与2026采购策略,ATS月报台账兜底,单表统计/观测数据下载门户,ATS招聘渠道月度汇总记录,,行业研究、人力资源服务,cn-all-remaining-0322-c294fc85,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,2,2/2,,账户状态枚举与接口契约统一,状态枚举非可浏览表,单表统计/观测数据下载门户,账户状态案例记录,,后台管理系统,cn-all-remaining-0577-09649bc4,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,3,2/2,,Word考核表原生与HTML渲染模式整合：字段投影与精确拒绝,考核表内部台账,企业运营台账(CRM/合同/采购/项目/库存),员工考核评估记录,,文档自动化,cn-all-remaining-0594-0e93fd4c,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,4,2/2,,600万吨级长流程钢厂短流程改造与低碳竞争力行业研究,生产能耗采购台账兜底,企业运营台账(CRM/合同/采购/项目/库存),生产/能耗/采购月度台账记录,,行业研究、冶金工程师（钢铁冶金）,cn-all-remaining-0704-e33a4f15,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,5,2/3,inventory-wms,多工厂冷链医药供应网络S&OP、运输排程与韧性发布准入,多表供应链无专类,订单/交易/支付/退款/物流流水,预测/订单/库存/生产/运输事件记录,,企业经营与战略决策、物流运营,cn-all-remaining-0670-306d841f,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,6,2/3,contract-project-ledger,Q3多项目组合资源冲突诊断与交付重排,多项目资源台账无贴合类,企业运营台账(CRM/合同/采购/项目/库存),项目/风险台账记录,,企业经营与战略决策、项目管理,cn-all-remaining-0881-7e2226c0,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,7,2/3,payment-reconciliation,薪资个税计算复核与发布封板审计,薪资台账无专属品类,企业运营台账(CRM/合同/采购/项目/库存),薪资记录,,薪酬福利与税务工程,cn-all-remaining-0968-a554494c,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,8,2/3,order-management,末端配送路线复核与数据质量审计委托,"无匹配类,内部台账兜底",主体档案+关联事件时间线,配送路线（计划vs实际）,,物流运营,cn-all-remaining-1206-037de182,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,9,3/3,,人民币固收组合估值、联合压力与调仓放行审计,债券持仓无专类台账,企业运营台账(CRM/合同/采购/项目/库存),债券持仓/发行人/评级记录,,金融与证券,cn-all-remaining-0433-48b9ac95,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,10,3/3,,信用债组合日终风险复核与低换手约束修复,债券持仓主数据台账,主体档案+关联事件时间线,债券持仓/主数据记录,,金融与证券、证券投资专业人员,cn-all-remaining-0858-a77c2bc1,
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,11,人工改判,gov-statistics-portal,城市交通变化桑基图,城市统计表无详情页,单表统计/观测数据下载门户,城市交通变化统计记录,,数据可视化与信息图,cn-all-remaining-1140-3069d89e,gov-statistics-portal→back-office-ledger：无来源系统，输入是现成 Excel
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,12,人工改判,gov-statistics-portal,三维条带图,地区-年份指标矩阵纯查询,地区×年份统计矩阵,地区-年份城镇化指标数据,,数据可视化与三维图形,cn-all-remaining-1204-d018a431,gov-statistics-portal→back-office-ledger：无来源系统，输入是现成 Excel
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,13,人工改判,gov-statistics-portal,三维锥形曲线图,地区-年份指标矩阵纯查询,地区×年份统计矩阵,地区-年份城镇化指标数据,,数据可视化与三维图形,cn-all-remaining-1208-999d7a75,gov-statistics-portal→back-office-ledger：无来源系统，输入是现成 Excel
back-office-ledger,其他内部业务台账,飞书多维表格 / 简道云,14,人工改判,gov-statistics-portal,三维带状图绘制,"地区×年份统计表,无详情页",地区×年份统计矩阵,分地区年度城镇化指标记录,,统计可视化,cn-all-remaining-1248-a8692605,gov-statistics-portal→back-office-ledger：无来源系统，输入是现成 Excel
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,1,2/2,,维修工单人员名称补全：状态迁移合同核验,维修工单资产台账,工单/缺陷/客服/审批跟踪,维修工单,,企业后端服务,cn-all-remaining-0606-2a5f0d02,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,2,2/2,,FHWA Delaware Bridge Element Condition Reconciliation,桥梁资产清单+构件状态子表,设备/资产台账+维护记录,NBI桥梁与构件状态记录,Federal Highway Administration,交通基础设施 / 桥梁资产管理 ,cn-all-remaining-1161-7adde7ff,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,3,2/3,iot-device-console,道路智慧照明台账清洗、回路拓扑核查与节能改造优先级编制,资产台账+维保工单+能耗,设备/资产台账+维护记录,照明资产台账记录,,建筑、测绘与规划；智慧城市工程技,cn-all-remaining-0782-40b4e001,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,4,2/3,process-historian,LYO-03冻干机抽真空超时偏差调查、参数恢复验证与PM表单修订,设备趋势报警CMMS,时序监测点/日志事件记录,设备批次趋势与报警事件,,医疗卫生、制药工程设备工程师,cn-all-remaining-0955-5ce45980,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,5,2/3,gov-statistics-portal,EIA-860 California and Texas generator transition and ownership audit,发电资产台账+退役,设备/资产台账+维护记录,EIA (U.S. Energy Information Administration),EIA Form 860 (Annual Electric Generator Report),Electric power a,cn-all-remaining-1220-8b5989c4,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,6,3/3,,构建 MTA 地铁无障碍资产与站点运维审计数据产品,资产清单+可用率,设备/资产台账+维护记录,地铁站点复合体/出入口/电梯扶梯资产及可用率记录,Metropolitan Transportation Authority (MTA),公共交通 / 资产数据工程 / ,cn-all-remaining-0241-a840346d,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,7,3/3,,雨水管道增容改造设计与工程费优化,检查井管段台账,设备/资产台账+维护记录,雨水管网检查井/管段台账记录,,建筑、测绘与规划,cn-all-remaining-0457-b003c365,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,8,3/3,,构建 EIA Texas 2024 发电机生命周期与运营对账审计产品,发电机资产台账,设备/资产台账+维护记录,发电机资产记录,EIA Form 860,能源监管 / 电力资产与运营数据,cn-all-remaining-0638-0c7751f3,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,9,3/3,,构建 EIA-EPA 2023 发电机发电量重建与 eGRID 跨机构审计数据产品,发电机资产台账,设备/资产台账+维护记录,发电机与发电量记录,EIA Form 860,数据工程 / 能源监管数据 / ,cn-all-remaining-0639-858c15f4,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,10,3/3,,构建纽约州活动桥法规运营日历与联邦—州资产对账数据产品,活动桥资产台账,设备/资产台账+维护记录,活动桥资产记录,33 CFR Part 117,交通基础设施 / 海事运营合规 ,cn-all-remaining-0643-75f76d95,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,11,3/3,,构建 FRA Cook County 道口生命周期、事故时点与 ENS 监管审计数据产品,道口资产+事故子表,设备/资产台账+维护记录,铁路道口清单与事故记录,Federal Railroad Administration,数据科学,cn-all-remaining-0651-88bde7d0,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,12,3/3,,工业伺服驱动器直流母线电容现场可靠性与加速寿命联合评估,装机台账+返修工单+CMMS,设备/资产台账+维护记录,装机台账与返修工单记录,,工程类、可靠性工程师,cn-all-remaining-0786-4163d316,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,13,3/3,,保障性租赁住房多源运营风险排查与物业整改闭环,房源资产+工单维护台账,设备/资产台账+维护记录,房源/租约/门禁/水电/工单/巡检记录,,房地产、租赁与物业、智慧城市管理,cn-all-remaining-0808-c3e94902,
asset-maintenance,资产台账与维护记录 CMMS,Fiix / eMaint,14,3/3,,FHWA 国家隧道检查合规与年度资产生命周期审计,资产台账+检查子表,设备/资产台账+维护记录,FHWA National Tunnel Inventory,FHWA National Tunnel Inventory,交通基础设施 / 国家隧道检查 ,cn-all-remaining-1265-1a7bc99d,
order-management,订单与履约管理,Shopify Admin / 旺店通,1,2/2,,文创品牌双11经营、投放与素材表现联合复盘,订单退款为主线台账,订单/交易/支付/退款/物流流水,订单/退款/广告投放记录,,设计、文创与媒体、电子商务数据分,cn-all-remaining-0695-73fb8b8c,
order-management,订单与履约管理,Shopify Admin / 旺店通,2,2/2,,手游限时活动奖励发放、请求幂等与玩家经济闭环审计,请求账本流水幂等状态流转,订单/交易/支付/退款/物流流水,游戏运营/GM账本后台,,    游戏与互动内容、游戏服务,cn-all-remaining-0399-6ddf0530,
order-management,订单与履约管理,Shopify Admin / 旺店通,3,2/2,,跨服公会战赛季事件流重放、排名结算与奖励补偿核验,事件流账本对账补发冲正,订单/交易/支付/退款/物流流水,游戏服务端GM/运营管理后台,,游戏与互动内容、游戏服务端开发工,cn-all-remaining-0422-d68716cc,
order-management,订单与履约管理,Shopify Admin / 旺店通,4,2/3,inventory-wms,医药商业出库台账波动归因与集中暴露可复验审计,订单主表+发货承运子记录,企业运营台账(CRM/合同/采购/项目/库存),医药出库订单明细,,商业运营、医药流通数据审计与物流,cn-all-remaining-0318-6f22c371,
order-management,订单与履约管理,Shopify Admin / 旺店通,5,2/3,procurement-sourcing,华东区域三仓分拨与承运商份额调整决策,逐票订单分拨与发货记录,订单/交易/支付/退款/物流流水,逐票订单/承运商报价,,企业经营与战略决策（物流运营）,cn-all-remaining-0868-8fb1b76d,
order-management,订单与履约管理,Shopify Admin / 旺店通,6,2/3,payment-reconciliation,网约车计费核验与发布封板审计,行程订单+费用明细,订单/交易/支付/退款/物流流水,网约车行程记录,,网约车 / 出行,cn-all-remaining-0976-5aa6f01c,
order-management,订单与履约管理,Shopify Admin / 旺店通,7,3/3,,多渠道订单ETL清洗、资金对账与经营日报复核,订单支付退款子表,订单/交易/支付/退款/物流流水,多渠道订单/支付/退款记录,WeChat Mini Program,信息技术与AI、大数据工程技术人,cn-all-remaining-0408-a8f2c013,
order-management,订单与履约管理,Shopify Admin / 旺店通,8,3/3,,跨境电商多源CDC湖仓重放、SCD2与财务对账发布准入,订单支付退款子记录,订单/交易/支付/退款/物流流水,订单/客户/支付/退款记录,,信息技术与AI、大数据工程技术人,cn-all-remaining-0438-8bd2d962,
order-management,订单与履约管理,Shopify Admin / 旺店通,9,3/3,,华东大区半年度销售经营复盘、Q3预测与目标拆解,ERP开票明细+状态流转,企业运营台账(CRM/合同/采购/项目/库存),开票明细/商机记录,ERP (Enterprise Resource Planning System),企业经营与战略决策、销售主管,cn-all-remaining-0780-37b43f72,
order-management,订单与履约管理,Shopify Admin / 旺店通,10,3/3,,华东仓配网络重构与2026旺季产能采购决策,发运明细近似发货子记录,订单/交易/支付/退款/物流流水,发运明细记录,,企业经营与战略决策、物流运营管理,cn-all-remaining-0789-19e1e516,
order-management,订单与履约管理,Shopify Admin / 旺店通,11,3/3,,即时零售订单湖仓增量入仓、迟到数据回补与经营宽表重建,订单支付退款配送事件,订单/交易/支付/退款/物流流水,订单/支付/退款/配送事件记录,,信息技术与AI、大数据工程技术人,cn-all-remaining-0798-e29ecb95,
order-management,订单与履约管理,Shopify Admin / 旺店通,12,3/3,,    原创文创品牌 Q2 经营复盘与 618 投放预算重分配    ,订单退款流量流水,订单/交易/支付/退款/物流流水,订单/退款/流量投放记录,Tmall,    设计、文创与媒体、电子商,cn-all-remaining-0862-62ba3ff3,
order-management,订单与履约管理,Shopify Admin / 旺店通,13,3/3,,文创电商 618 多平台经营复盘、订单级素材归因与预算重分配,订单退款子记录+归因,订单/交易/支付/退款/物流流水,订单/退款/广告投放记录,Tmall,设计、文创与媒体、电子商务数据分,cn-all-remaining-0930-3befd0d2,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,1,2/2,,SEC 2024 Adjudicatory Proceeding Lifecycle Audit,案卷列表+详情+阶段时间线,可检索档案库+详情页,行政裁决案卷/委员会命令记录,U.S. Securities and Exchange Commission (SEC),证券监管 / 行政裁决案卷管理 ,cn-all-remaining-1152-b88db992,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,2,2/2,,构建 2024 镀锡轧材 Commerce-USITC 贸易救济生命周期审计,AD/CVD案件+阶段时间线,可检索档案库+详情页,联邦公报贸易救济公告与USITC裁定,Federal Register,国际贸易救济 / 反倾销与反补贴,cn-all-remaining-1167-66c3f015,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,3,2/3,asset-maintenance,NRC 2024 年 5 月核电机组事件通知、监管时限与运行状态联动审计,事件通知与时间线,设备/资产台账+维护记录,事件通知与机组运行状态记录,Nuclear Regulatory Commission (NRC),核能监管 / 核电运行监督 / ,cn-all-remaining-1092-7a4f421f,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,4,2/3,gov-statistics-portal,构建 GAO FY2020–FY2024 政府采购抗议法定控制审计,抗议案件阶段时间线,单表统计/观测数据下载门户,eCFR / GAO年度报告数据库,eCFR (Electronic Code of Federal Regulations),政府采购 / GAO 抗议 / ,cn-all-remaining-1168-082afeef,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,5,3/3,,构建 BSEE 2024 海上设施事故、调查与检查执法连续性审计,事故调查执法案件,设备/资产台账+维护记录,海上设施事故/调查/检查/INC执法记录,Bureau of Safety and Environmental Enforcement (BSEE),能源与海上安全监管 / 法规数据,cn-all-remaining-0650-3d91eb5e,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,6,3/3,,MSHA 2024-H2 Impact Inspection Enforcement and Adjudication Audit,检查违规诉讼案件,可检索档案库+详情页,矿山检查/违规/评估/诉讼记录,Mine Safety and Health Administration (MSHA),Government / Min,cn-all-remaining-1099-a6550f2f,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,7,3/3,,伊利诺伊饮用水违规与执法生命周期审计（EPA SDWIS）,违规案件+执法时间线,主体档案+关联事件时间线,饮用水系统违规执法记录,EPA SDWIS (Safe Drinking Water Information System),饮用水合规 / 监管执法数据审计,cn-all-remaining-1257-2f561d5d,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,8,3/3,,OSHA 德州电力行业检查、引用标准与罚款闭包审计,检查案件+引用+罚款,批次-样品-检验/QC记录(LIMS/MES),OSHA检查与引用记录,OSHA Integrated Management Information System (IMIS),劳动执法 / 职业安全 / 检查,cn-all-remaining-1262-e78cfd80,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,9,3/3,,PHMSA 管道安全执法案件阶段、引用法规与处罚闭包审计,案件阶段+法规+处罚,批次-样品-检验/QC记录(LIMS/MES),PHMSA管道执法案件记录,PHMSA Enforcement Raw Data,交通与能源基础设施监管 / 管道,cn-all-remaining-1264-008f2bdb,
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,10,人工改判,regulatory-registry,NHTSA Recall Campaign Completion Lifecycle Audit,召回登记+状态变更史,可检索档案库+详情页,NHTSA召回活动记录,National Highway Traffic Safety Administration (NHTSA) Recalls,Transportation s,cn-all-remaining-1175-e6dc03a4,regulatory-registry→enforcement-case：召回=执法/案件生命周期
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,11,人工改判,regulatory-registry,美加 2024 年消费品召回标识、伤害与补救措施跨境一致性审计,跨境召回登记+状态,可检索档案库+详情页,召回案例记录,Consumer Product Safety Commission (CPSC),消费品安全 / 跨境召回监管 /,cn-all-remaining-1177-c31afdfe,regulatory-registry→enforcement-case：召回=执法/案件生命周期
enforcement-case,执法案件与处罚检索,EPA ECHO / PHMSA,12,人工改判,regulatory-registry,受制裁主体交易对手筛查与所有权穿透判定：从别名噪声与股权登记到可复核的阻断决定,受制裁主体检索+状态详情,可检索档案库+详情页,受制裁主体/交易对手记录,,国际政治经济学,cn-all-remaining-0021-e1224663,regulatory-registry→enforcement-case：制裁筛查与阻断决定
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,1,2/2,,长三角既有公共建筑结构检测鉴定与加固设计服务市场研究与区域进入建议,项目线索客户名录,企业运营台账(CRM/合同/采购/项目/库存),项目线索与机构名录,,建筑工程、行业研究（结构工程设计,cn-all-remaining-0414-b2da4750,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,2,2/2,,客户申请地区字段同步：画布边界与矩形校验,客户申请记录字段,企业运营台账(CRM/合同/采购/项目/库存),客户申请记录,,企业应用,cn-all-remaining-0581-e08e758f,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,3,2/2,,2024—2026 AR应用开发工程师项目机会、技术栈与产能研究,原文点名CRM系统,企业运营台账(CRM/合同/采购/项目/库存),CRM项目机会/岗位需求记录,CRM (Customer Relationship Management system),行业研究、AR应用开发工程师,cn-all-remaining-0686-25b0fcd7,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,4,2/3,back-office-ledger,B2B SaaS试用转付费漏斗诊断与Q4产品运营策略排期,试用账号事件订阅工单,主体档案+关联事件时间线,试用账号/行为事件/订阅/工单记录,,企业经营与战略决策、产品运营,cn-all-remaining-0837-ac7b8f92,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,5,3/3,,6月会员续费下滑复盘与分层召回名单,会员+触达时间线近CRM,主体档案+关联事件时间线,会员到期/支付/使用/触达记录,,产品运营,cn-all-remaining-0220-bb326e7d,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,6,3/3,,华东事业部Q2销售经营复盘与Q3目标拆解,CRM商机跟进流水,企业运营台账(CRM/合同/采购/项目/库存),CRM订单流水与商机记录,,企业经营与战略决策、销售主管,cn-all-remaining-0731-abeed8dd,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,7,3/3,,2026 Q4 企业客户续约风险诊断与服务资源配置,客户合同+跟进+健康评分,企业运营台账(CRM/合同/采购/项目/库存),客户合同/工单记录,,企业经营与战略决策、企业服务专员,cn-all-remaining-0779-2c9670ba,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,8,3/3,,长三角新能源叉车短租业务城市进入优先级与三年经营测算,销售线索为核心记录,企业运营台账(CRM/合同/采购/项目/库存),销售线索/竞品报价记录,,企业经营与战略决策、行业研究员,cn-all-remaining-0827-a07867a4,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,9,3/3,,2025Q4华东区销售预测、目标拆解与重点商机资源配置,CRM商机记录,企业运营台账(CRM/合同/采购/项目/库存),CRM商机记录,,企业经营与战略决策、销售主管,cn-all-remaining-0856-1dd34f40,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,10,3/3,,重点企业客户续约风险诊断与90天挽回方案,客户合同工单跟进台账,企业运营台账(CRM/合同/采购/项目/库存),客户合同/工单/开票记录,,企业经营与战略决策、企业服务专员,cn-all-remaining-0871-83e54e58,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,11,3/3,,华东区Q3销售目标分解、客户归属调整与重点商机治理,CRM商机客户台账,企业运营台账(CRM/合同/采购/项目/库存),CRM商机记录,,企业经营与战略决策、销售主管,cn-all-remaining-0879-9c1c7e3e,
crm-pipeline,客户与商机 CRM,Salesforce / 纷享销客,12,3/3,,    产业园区企业诉求、政策申报与重点企业服务闭环复盘    ,企业主体+跟进时间线,主体档案+关联事件时间线,企业主数据/工单/走访/申报记录,,    企业经营与战略决策   ,cn-all-remaining-0965-3d040bba,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,1,2/2,,B2B合同回款、退款与销售佣金结算复核,合同回款佣金结算,企业运营台账(CRM/合同/采购/项目/库存),合同与资金流水,,企业经营与战略决策—销售主管,cn-all-remaining-0419-94921508,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,2,2/2,,住宅项目月度履约偏差诊断、里程碑滚动预测与四周纠偏,工程合同进度台账,企业运营台账(CRM/合同/采购/项目/库存),计划任务/合同/问题台账,,房地产、房地产开发项目管理,cn-all-remaining-0702-51ec01fc,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,3,2/2,,构建 GSA 交付订单修改生命周期、义务额台账与父 IDV 对账产品,订单变更签证+义务额付款子表,企业运营台账(CRM/合同/采购/项目/库存),联邦采购合同/订单交易记录,USAspending,联邦采购 / 合同变更控制 / ,cn-all-remaining-1144-8a6c2142,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,4,2/2,,市政排水改造项目月度进度更新、挣值分析与纠偏计划,项目进度变更付款结算台账,企业运营台账(CRM/合同/采购/项目/库存),工程项目管理平台(如Primavera/广联达),,工程类、工程项目经理,cn-all-remaining-0325-eb2f0968,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,5,3/3,,办公楼精装修工程量、变更与进度款复核,计量签认+变更台账,企业运营台账(CRM/合同/采购/项目/库存),工程量计量签认与变更记录,,建筑、测绘与规划、工程造价人员,cn-all-remaining-0410-7e8ac79d,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,6,3/3,,2026年Q4项目组合重排与关键资源调度决策,项目台账资源排期,企业运营台账(CRM/合同/采购/项目/库存),项目组合台账（在途项目）,,企业经营与战略决策、项目经理,cn-all-remaining-0841-33f3a229,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,7,3/3,,办公楼机电安装工程第6期进度款审核、变更签证与超付风险复核,进度款+变更签证审核,企业运营台账(CRM/合同/采购/项目/库存),计量与变更签证记录,,建筑、测绘与规划、工程造价人员,cn-all-remaining-0911-57247e16,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,8,3/3,,住宅地下车库工程量清单复核、最高投标限价及变更影响审计,工程结算变更台账,企业运营台账(CRM/合同/采购/项目/库存),广联达等工程造价招标平台,,房地产、工程造价师,cn-all-remaining-0796-238e5327,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,9,3/3,,写字楼租赁区精装修及机电改造工程结算审核,装修工程结算审核,企业运营台账(CRM/合同/采购/项目/库存),工程造价/合同结算管理平台（通用，如广联达）,,房地产、租赁与物业；工程造价师,cn-all-remaining-0864-82ecf25a,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,10,3/3,,市政排水工程月度进度更新、恢复计划与变更评估,项目进度合同台账,企业运营台账(CRM/合同/采购/项目/库存),Primavera P6 / Procore 类工程项目管理系统,,工程类、工程项目经理,cn-all-remaining-1132-08f39a42,
contract-project-ledger,合同与项目结算台账,广联达 / 明源云,11,人工改判,gov-statistics-portal,FCC E-Rate 2023 资金年度学校宽带折扣、承诺与拨款生命周期审计,资助按年出表下载,单表统计/观测数据下载门户,E-Rate资助申请与承诺记录,USAC,电信监管 / 教育宽带数据工程,cn-all-remaining-1188-be477324,gov-statistics-portal→contract-project-ledger：E-Rate 承诺/拨款/发票生命周期
