形态族,族内序号,一致度,任务名,记录类型,操作,判断依据,已知来源,行业,custom_id,我的判断(留空待填)
设备/资产台账+维护记录,18,3/3,道路智慧照明台账清洗、回路拓扑核查与节能改造优先级编制,照明资产台账记录,筛选+排序+导出+跨表关联,三系统拼接的534行资产台账,,建筑、测绘与规划；智慧城市工程技,cn-all-remaining-0782-40b4e001,
设备/资产台账+维护记录,19,3/3,工业伺服驱动器直流母线电容现场可靠性与加速寿命联合评估,装机台账与返修工单记录,筛选+导出+跨表关联,装机暴露台账+现场返修类工单表,,工程类、可靠性工程师,cn-all-remaining-0786-4163d316,
设备/资产台账+维护记录,20,3/3,3#楼4层PC构件进场判定、吊装日计划及安装质量闭环,PC构件进场/安装台账,筛选+详情展开+导出+跨表关联,构件编号台账按进场状态、安装顺序可筛选查询,,房地产、租赁与物业、装配式建筑施,cn-all-remaining-0813-0f341d0c,
工单/缺陷/客服/审批跟踪,1,2/3,精装住宅交付前全屋查验、缺陷分级与修缮费用测算,现场查验点位记录,筛选+详情展开+导出,64条带点位的查验记录表,,房地产、租赁与物业、房屋查验咨询,cn-all-remaining-0791-05e9ca07,
工单/缺陷/客服/审批跟踪,2,3/3,游戏工程自动化回归测试用例梳理,手工测试缺陷工单,筛选+排序+导出,缺陷台账即缺陷跟踪系统的工单列表,,    游戏自动化测试工程师,cn-all-remaining-0223-6433ad04,
工单/缺陷/客服/审批跟踪,3,3/3,    精装修住宅交付查验缺陷分级、整改闭环与交付判定    ,住宅查验与缺陷记录,筛选+详情展开+导出,按房号/检查项记录，类工单跟踪系统,,    房地产、租赁与物业—房屋,cn-all-remaining-0417-e46ae306,
工单/缺陷/客服/审批跟踪,4,3/3,方案联审列表状态与年份排序,方案联审记录,筛选+排序+导出,项目含状态年份编号，类工单列表可排序,,项目流程管理,cn-all-remaining-0495-5d0e7157,
工单/缺陷/客服/审批跟踪,5,3/3,画中画视频服务配置收敛,视频生成请求/任务,搜索+筛选+排序+详情展开,含prompt/状态/轮询，似生成任务控制台,,视频生成服务,cn-all-remaining-0570-aca01108,
工单/缺陷/客服/审批跟踪,6,3/3,工单分析表结构与查询索引落地,工单/工作项记录,搜索+筛选+排序+导出,id/name/value字段，典型工单表结构,,企业工单系统,cn-all-remaining-0572-5e9cacdd,
工单/缺陷/客服/审批跟踪,7,3/3,工单投影查询语义与索引清理,工单,搜索+筛选+排序+导出,工单跟踪系统按状态查询、排序、限量返回,,后端数据服务,cn-all-remaining-0578-e86fdf1b,
工单/缺陷/客服/审批跟踪,8,3/3,质量问题类型归纳与避免措施表：文档证据排序与截取,质量问题/缺陷工单,筛选+排序+导出,问题跟踪表即缺陷工单列表，可按模块筛选归纳,,质量管理,cn-all-remaining-0588-2b3a5bb1,
工单/缺陷/客服/审批跟踪,9,3/3,维修工单人员名称补全：状态迁移合同核验,维修工单,搜索+筛选+详情展开,工单列表/详情字段来源，用户服务补全姓名,,企业后端服务,cn-all-remaining-0606-2a5f0d02,
工单/缺陷/客服/审批跟踪,10,3/3,工单查询语句与索引收紧：检索分页与越界诊断,工单查询结果记录,搜索+筛选+翻页,"工单服务检索分页,典型工单列表数据",,后端服务,cn-all-remaining-0618-a217bf7e,
工单/缺陷/客服/审批跟踪,11,3/3,衡云费控移动端差旅报销关键流程体验整改,客服工单与会话漏斗记录,筛选+详情展开+导出,42条工单与逐会话漏斗数据来自客服/埋点系统,,设计、文创与媒体、用户体验设计师,cn-all-remaining-0682-ffc004ef,
工单/缺陷/客服/审批跟踪,12,3/3,企业客户门户API授权边界、网关控制与修复回归复核,安全测试发现与整改工单,搜索+筛选+导出+跨表关联,扫描/网关/工单均为可筛选记录,OpenAPI Specification,信息技术与AI、信息安全测试员,cn-all-remaining-0945-63165974,
工单/缺陷/客服/审批跟踪,13,3/3,多渠道客服意图路由模型灰度上线准入复核与人工兜底策略评审,客服工单/会话记录,搜索+筛选+导出,多渠道客服平台会话/工单，类工单跟踪系统,,数据科学、AI算法科学家,cn-all-remaining-1123-2b49c9e3,
电商/社媒/内容浏览页,1,2/3,Steam 英文游戏名到国区官方中文名批量匹配与审核工具,Steam游戏商店页面,搜索+详情展开+跨表关联,Steam商店可搜索的游戏目录页面,Steam,Steam 游戏、本地化数据治理,cn-all-remaining-0070-65ebea1e,
电商/社媒/内容浏览页,2,3/3,2023—2025 中国宠物食品行业、竞品与小红书营销研究,淘宝/抖音商品页与小红书笔记,搜索+筛选+翻页+详情展开,竞品SKU与笔记需在电商/社媒多记录页面查找取证,Taobao,宠物类、行业研究,cn-all-remaining-0043-bf5fc64f,
电商/社媒/内容浏览页,3,3/3,评论列表与管理操作页,评论记录,搜索+筛选+翻页+排序,评论区带点赞分页删除，典型网页列表,,Web应用,cn-all-remaining-0524-a56ec68a,
电商/社媒/内容浏览页,4,3/3,批量促销页不可编辑折扣分流,促销页商品折扣记录,筛选+翻页+详情展开,促销页商品折扣类目，类商品清单,,电商运营工具,cn-all-remaining-0525-220a5eb2,
地区×年份统计矩阵,1,3/3,三维条带图,地区-年份城镇化指标数据,筛选+导出,地区×年份×单指标矩阵，似统计门户查询导出,,数据可视化与三维图形,cn-all-remaining-1204-d018a431,
地区×年份统计矩阵,2,3/3,三维锥形曲线图,地区-年份城镇化指标数据,筛选+导出,同1203，地区×年份指标矩阵似门户导出,,数据可视化与三维图形,cn-all-remaining-1208-999d7a75,
地区×年份统计矩阵,3,3/3,三维带状图绘制,分地区年度城镇化指标记录,筛选+导出,年份×地区指标矩阵，典型统计年鉴门户可查询下载形态,,统计可视化,cn-all-remaining-1248-a8692605,
