360-feedback-software | 360 Feedback Software
video-interviewing | Video Interviewing Software
video-platform-as-a-service-vpaas | Video Platform as a Service (VPaaS) Software
video-production-companies | Video Production Companies
video-surveillance | Video Surveillance Software
video-translation-services | Video Translation Services
video-translation-software | Video Translation Software
vidyard-consulting | Vidyard Consulting Providers
vineyard-management | Vineyard Management Software
virtual-career-fair-platforms | Virtual Career Fair Platforms
virtual-classroom | Virtual Classroom Software
virtual-data-room-vdr | Virtual Data Room Software
virtual-desktop-infrastructure-vdi | Virtual Desktop Infrastructure (VDI) Software
virtual-event-platforms | Virtual Event Platforms
virtual-fitting | Virtual Fitting Software
virtual-it-labs | Virtual IT Labs Software
virtual-mailbox | Virtual Mailbox Software
virtual-private-cloud-vpc | Virtual Private Cloud (VPC) Software
virtual-reality | Virtual Reality Software
virtual-receptionist-services | Virtual Receptionist Services Providers
virtual-recording-studio | Virtual Recording Studio Software
virtual-routers | Virtual Routers
virtual-tour | Virtual Tour Software
virtual-waiting-room | Virtual Waiting Room Software
virtual-workspaces | Virtual Workspaces
visitor-behavior-intelligence | Visitor Behavior Intelligence Software
visitor-identification | Visitor Identification Software
visitor-management | Visitor Management Software
visual-collaboration-platforms | Visual Collaboration Platforms
visual-configuration | Visual Configuration Software
visual-product-customization | Visual Product Customization Software
voice-recognition | Voice Recognition Software
voip-providers | VoIP Providers
volunteer-management | Volunteer Management Software
voting-management | Voting Management Software
vps-hosting-platforms | VPS Hosting Platforms
vr-collaboration | Virtual Reality (VR) Collaboration Platforms
vr-content-management-systems | VR Content Management Systems
vr-development | Virtual Reality (VR) Development Software
vr-game-engine | Virtual Reality (VR) Game Engines
vr-marketplace | Virtual Reality (VR) Marketplaces
vr-sdk | Virtual Reality (VR) Software Development Kits
vr-training-simulator | VR Training Simulator Software
vr-visualization | VR Visualization Software
vulnerability-assessment-services | Vulnerability Assessment Services Providers
vulnerability-management | Vulnerability Management Software
vulnerability-scanner | Vulnerability Scanner Software
wan-edge-infrastructure | WAN Edge Infrastructure Software
wan-optimization | WAN Optimization Software
warehouse-automation | Warehouse Automation Software
warehouse-management | Warehouse Management Software
warranty-management | Warranty Management Software
waste-management | Waste Management Software
wastewater-pipeline-inspection | Wastewater Pipeline Inspection Software
wearable-app-development | Wearable App Development Companies
weather-data-software | Weather Data Software
web-accelerator | Web Accelerator Software
web-accessibility | Web Accessibility Software
web-application-firewall-waf | Web Application Firewalls (WAF)
web-client-accelerator | Web Client Accelerator Software
web-content-management | Web Content Management Software
web-data-providers | Web Data Providers Software
web-design | Web Design Software
web-developers | Web Developers
web-font-marketplace | Web Font Marketplaces
web-frameworks | Web Frameworks
web-hosting | Web Hosting Platforms
web-security | Web Security Software
web-server-accelerator | Web Server Accelerator Software
webinar | Webinar Platforms
webops-platforms | WebOps Platforms
website-accessibility | Website Accessibility Software
website-accessibility-plugins | Website Accessibility Plugins Software
website-builder | Website Builder Software
website-change-monitoring | Website Change Monitoring Software
website-design | Website Design Services
website-localization | Website Localization Services
website-monitoring | Website Monitoring Software
website-privacy-auditing-tools | Website Privacy Auditing Tools Software
website-screenshot | Website Screenshot Software
website-security | Website Security Software
website-translation | Website Translation Providers
website-translation-tools | Website Translation Tools
whatsapp-marketing | WhatsApp Marketing Software
whistleblowing | Whistleblowing Software
wide-column-database | Wide Column Database Software
win-loss-analysis-services | Win-Loss Analysis Services Providers
windows-developers | Windows Developers
wine-beer-and-spirits | Wine, Beer and Spirits Software
winery | Winery Software
winery-management | Winery Management Software
wireframing | Wireframing Software
wireless-expense-management-wem | Wireless Expense Management (WEM) Software
wordpress-developers | WordPress Developers
wordpress-hosting | WordPress Hosting Platforms
wordpress-management-tools | WordPress Management Tools
wordpress-site-management-service | Wordpress Site Management Service Providers
work-instructions | Work Instructions Software
work-management | Work Management Software
workday-consulting-services | Workday Consulting Services
workflow-management | Workflow Management Software
workforce-management | Workforce Management Software
workforce-planning | Workforce Planning Software
workload-automation | Workload Automation Software
workplace-innovation-platforms | Workplace Innovation Platforms
writing-assistants | Writing Assistants Software
wysiwyg-editors | WYSIWYG Editors
xml-databases | XML Databases
yard-management | Yard Management Software
zero-trust-architecture | Zero Trust Architecture Software
zero-trust-networking | Zero Trust Networking Software
zero-trust-platforms | Zero Trust Platforms
zoho-consulting | Zoho Consulting Providers
x-motion-capture-biomechanics-lab | Motion Capture / Biomechanics Lab Software — 动捕采集与肌骨建模工作流 (OpenSim, Vicon Nexus, Qualisys QTM, Visual3D, OpenCap)；注意与 sports-performance-analytics（面向教练的运动表现分析）区分
x-materials-property-database | Materials Property Database — 材料结构与性质检索库 (Materials Project, AFLOW, OQMD, NOMAD)
x-atomistic-simulation-package | Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算 (LAMMPS, VASP, GROMACS, Quantum ESPRESSO)
x-test-bench-daq | Test Bench / Data Acquisition Software — 台架试验的多通道采集与回放 (NI DIAdem, NI LabVIEW, Dewesoft X, HBM catman)；注意与 SCADA（在线生产监控）区分
x-process-historian | Process Historian — 工厂时序位号历史库与趋势查询 (AVEVA PI System, Ignition Historian, WinCC)；注意与 supervisory-control-and-data-acquisition-scada（实时监控 HMI）区分
x-hpc-job-scheduler | HPC Cluster / Job Scheduler Portal — 作业提交队列与算例日志 (Slurm, PBS, OpenOnDemand)
x-ml-experiment-tracking | ML Experiment Tracking / Model Registry — 逐 run 指标对比与模型版本 (MLflow, Weights & Biases, Neptune)；注意与 mlops-platforms（部署运维平台）区分
x-research-dataset-repository | Research Dataset Repository — 公开数据集下载页与元数据 (UCI ML Repository, Zenodo, figshare, Kaggle Datasets)
x-genomics-data-repository | Genomics / Bioinformatics Data Repository — 组学数据集与样本注释 (NCBI GEO, ENA, Ensembl, TCGA)
x-seismic-waveform-data-center | Seismic Waveform Data Center — 台站波形与事件目录检索 (IRIS/FDSN, SeisComP; .mseed)
x-seismic-processing-workstation | Seismic Interpretation / Processing Workstation — 道集处理与解释 (Petrel, OpendTect, SeisSpace, Kingdom)
x-government-statistics-portal | Government Statistics / Open Data Portal — 官方统计与开放数据查询 (EPA GHGRP, Eurostat, 国家统计局)
x-regulatory-registry | Regulatory Registry / Compliance Filing Database — 备案与合规申报检索库 (ECHA, FDA, 住建部/药监局备案平台)
x-game-liveops-console | Game Engine Editor / LiveOps Admin Console — 游戏内容编辑器或运营后台 (Unity Editor, Unreal, 游戏数值/活动后台)
